name,address,latitude,longitude,rating,borough,shop_id,Unnamed: 0,Code,Area,Value,Code_earnings,Area_earnings,Pay_2021
A Dandy In Aspic,"Market, 748-749, North Yard Stables, Chalk Farm Rd, London",51.5425015,-0.1490213,3.4,Camden,487,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Good,"33 Neal St, London",51.5142216,-0.1256036,5.0,Camden,488,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
2o2st News,"72 Berwick St, London",51.5147633,-0.1360655,0.0,Westminster,489,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
The Grandad Company,"47, London",51.5378699,-0.1154254,5.0,Islington,490,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
wornwell vintage clothing,"Oxford St, London",51.5165812,-0.1311655,0.0,Westminster,491,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
DreamingLion Vintage,"Unit D28, Horse Tunnel, The Stables Market, Chalk Farm Rd, London",51.5420455,-0.1469688,4.5,Camden,492,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
SK.Vintage,"51 Fortess Rd, London",51.5539851,-0.1406663,4.5,Camden,493,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Clerkenwell Vintage Fashion Fair,"38-51 Bedford Way, London",51.5234685,-0.1273138,0.0,Camden,494,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Open for Vintage,"7, 10 Cavendish Square, Chandos St, London",51.5169544,-0.1442532,5.0,Westminster,495,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Dukes Cupboard Limited,"14 Ingestre Pl, London",51.5132008,-0.1357614,4.3,Westminster,496,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
pillowHeat,"Vans Store, 47 Carnaby St, London",51.5128206,-0.1386783,4.9,Westminster,497,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Laura von Behr Vintage,"Canonbury Yard, Building 1, 5A, 190 New N Rd, London",51.5377403,-0.0908213,5.0,Islington,498,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
"Camden Passage, Islington","1 Camden Psge, London",51.5346814,-0.1039732,4.3,Islington,499,3843.0,E09000019,Islington,"625,000",00AU,Islington,665.6
American Vintage,"35 Marylebone High St, London",51.5205091,-0.151705,3.4,Westminster,500,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Grays Antique Market,"58 Davies St, London",51.5137017,-0.1486451,4.1,Westminster,501,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
American Vintage,"Stable St, London",51.535973,-0.126182,3.4,Camden,502,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
SOMLO - London & OMEGA Vintage,"35-36 Burlington Arcade, London",51.509631,-0.14092,4.5,Westminster,503,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
