name,address,latitude,longitude,rating,borough,shop_id,Unnamed: 0,Code,Area,Value,Code_earnings,Area_earnings,Pay_2021
Vintage80scasuals,"Unit 63, 105 Culvert Rd, London",51.47090439999999,-0.1566805,0.0,Wandsworth,0,3856.0,E09000032,Wandsworth,"640,000",00BJ,Wandsworth,746.7
Accessories of Old,"Next to Safestore, Arch 10 Munster Rd, London",51.4725788,-0.2038588,0.0,Hammersmith and Fulham,1,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
Eclectica (Clapham),"803 Wandsworth Rd, London",51.4665809,-0.1484604,4.9,Lambeth,2,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
BajaboutiqueGB,"37 Elbe St, London",51.4728777,-0.1850758,0.0,Hammersmith and Fulham,3,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
INSIGHT Fulham Dress Agency,"201 Munster Rd, London",51.4794466,-0.2118834,5.0,Hammersmith and Fulham,4,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
NewVintage.co.uk,"256 Battersea Park Rd, London",51.4720756,-0.1661966,4.1,Wandsworth,5,3856.0,E09000032,Wandsworth,"640,000",00BJ,Wandsworth,746.7
Rewind Vintage Affairs,London,51.47750680000001,-0.1831423,5.0,Hammersmith and Fulham,6,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
R13fitness,"Flat 74, Barton House, Wandsworth Bridge Rd., London",51.4682394,-0.1898545,0.0,Hammersmith and Fulham,7,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
Deuxieme,"299 New Kings Rd, London",51.4721182,-0.203096,3.8,Hammersmith and Fulham,8,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
Northcote Road Antiques Market,"155a Northcote Rd, London",51.455341,-0.1645277,4.4,Wandsworth,9,3856.0,E09000032,Wandsworth,"640,000",00BJ,Wandsworth,746.7
43 Decorative Antiques,"43 Replingham Rd, London",51.44506939999999,-0.2043641,4.5,Wandsworth,10,3856.0,E09000032,Wandsworth,"640,000",00BJ,Wandsworth,746.7
Guinevere Antiques Ltd,"574-580, King's Rd, London",51.47900199999999,-0.188218,4.8,Hammersmith and Fulham,11,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
Eccles Road Antiques,"60 Eccles Rd, London",51.46180829999999,-0.1634526,4.9,Wandsworth,12,3856.0,E09000032,Wandsworth,"640,000",00BJ,Wandsworth,746.7
Ebury Trading,"Lavender Hill, London",51.4651588,-0.1550034,5.0,Wandsworth,13,3856.0,E09000032,Wandsworth,"640,000",00BJ,Wandsworth,746.7
Antique Modern Mix,"unit 121, Design Centre South Dome, London",51.4760284,-0.1829163,5.0,Hammersmith and Fulham,14,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
Black Tie White Noise,"62 Fulham High St, London",51.4703604,-0.2107931,0.0,Hammersmith and Fulham,15,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
HOWE Warehouse,"Unit 15B, Bldg B Parkfield Industrial Estate, Culvert Pl, London",51.4711469,-0.1544732,0.0,Wandsworth,16,3856.0,E09000032,Wandsworth,"640,000",00BJ,Wandsworth,746.7
The Shop,"645-649 Garratt Lane, London",51.4366231,-0.1865754,3.3,Wandsworth,17,3856.0,E09000032,Wandsworth,"640,000",00BJ,Wandsworth,746.7
New Kings Road Vintage Guitar Emporium,"65A New Kings Rd, London",51.475823,-0.1933474,4.6,Hammersmith and Fulham,18,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
ShonaMac.com,"8 Bellevue Rd, London",51.44577210000001,-0.1658887,4.5,Wandsworth,19,3856.0,E09000032,Wandsworth,"640,000",00BJ,Wandsworth,746.7
Artiquea Gallery,"82 Wandsworth Bridge Rd., London",51.4738719,-0.1922307,5.0,Hammersmith and Fulham,20,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
331,"331 Garratt Lane, London",51.44639429999999,-0.189165,4.4,Wandsworth,21,3856.0,E09000032,Wandsworth,"640,000",00BJ,Wandsworth,746.7
Retro Furniture & Services,"338 Balham High Rd, London",51.4358639,-0.1596233,5.0,Wandsworth,22,3856.0,E09000032,Wandsworth,"640,000",00BJ,Wandsworth,746.7
Saluto London,"Battersea Business Centre, London",51.4650292,-0.1549833,5.0,Wandsworth,23,3856.0,E09000032,Wandsworth,"640,000",00BJ,Wandsworth,746.7
Gutlin Clocks & Antiques,"606 King's Rd, London",51.4784546,-0.1891004,5.0,Hammersmith and Fulham,24,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
Vittorio Ragone Design,"533 King's Rd, London",51.4802725,-0.1854478,5.0,Kensington and Chelsea,25,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Silk & Sawdust,"2 Michael Rd, London",51.47718039999999,-0.1865522,5.0,,26,,,,,,,
Silk & Sawdust,"2 Michael Rd, London",51.47718039999999,-0.1865522,5.0,,26,,,,,,,
Traid,"28 St John's Rd, London",51.4629956,-0.1679301,4.1,Wandsworth,27,3856.0,E09000032,Wandsworth,"640,000",00BJ,Wandsworth,746.7
Boutique by Shelter,"49 Northcote Rd, London",51.4594101,-0.1662286,4.8,Wandsworth,28,3856.0,E09000032,Wandsworth,"640,000",00BJ,Wandsworth,746.7
Chelsea Vintage Couture,"Office - Showroom, BY APPOINTMENT ONLY, Sloane Ave, London",51.4924574,-0.1659658,4.7,Kensington and Chelsea,29,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Vintage80scasuals,"Unit 63, 105 Culvert Rd, London",51.47090439999999,-0.1566805,0.0,Wandsworth,30,3856.0,E09000032,Wandsworth,"640,000",00BJ,Wandsworth,746.7
Hornets,"2 & 4 Kensington Church Walk, London",51.50253259999999,-0.1928196,4.9,Kensington and Chelsea,31,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Accessories of Old,"Next to Safestore, Arch 10 Munster Rd, London",51.4725788,-0.2038588,0.0,Hammersmith and Fulham,32,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
Eclectica (Clapham),"803 Wandsworth Rd, London",51.4665809,-0.1484604,4.9,Lambeth,33,3846.0,E09000022,Lambeth,"510,000",00AY,Lambeth,673.6
De L'Époque,"8 Cheval Pl, London",51.49900359999999,-0.1667621,5.0,Westminster,34,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
BajaboutiqueGB,"37 Elbe St, London",51.4728777,-0.1850758,0.0,Hammersmith and Fulham,35,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
INSIGHT Fulham Dress Agency,"201 Munster Rd, London",51.4794466,-0.2118834,5.0,Hammersmith and Fulham,36,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
NewVintage.co.uk,"256 Battersea Park Rd, London",51.4720756,-0.1661966,4.1,Wandsworth,37,3856.0,E09000032,Wandsworth,"640,000",00BJ,Wandsworth,746.7
Rewind Vintage Affairs,London,51.47750680000001,-0.1831423,5.0,Hammersmith and Fulham,38,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
All Loved Up Boutique,"All Loved Up Boutique, 91 Charlwood St, London",51.4880187,-0.1412302,5.0,Westminster,39,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
R13fitness,"Flat 74, Barton House, Wandsworth Bridge Rd., London",51.4682394,-0.1898545,0.0,Hammersmith and Fulham,40,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
Retromania Fara London,"6 Upper Tachbrook St, London",51.4933772,-0.1399568,4.3,Westminster,41,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Deuxieme,"299 New Kings Rd, London",51.4721182,-0.203096,3.8,Hammersmith and Fulham,42,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
Sign of the Times,"5 Elystan St, London",51.490966,-0.1667517,4.3,Kensington and Chelsea,43,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Field Antiques,"275 Lillie Rd, London",51.4829184,-0.2116797,0.0,Hammersmith and Fulham,44,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
Good,"31 Kensington Church St, London",51.5035908,-0.1920055,4.9,Kensington and Chelsea,45,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Sheila Cook Textiles,"26 Addison Pl, London",51.5065669,-0.2134664,0.0,Kensington and Chelsea,46,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
James McWhirter Antiques Ltd,"11 Langton St, London",51.4823176,-0.1807697,4.8,Kensington and Chelsea,47,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Guinevere Antiques Ltd,"574-580, King's Rd, London",51.47900199999999,-0.188218,4.8,Hammersmith and Fulham,48,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
Eccles Road Antiques,"60 Eccles Rd, London",51.46180829999999,-0.1634526,4.9,Wandsworth,49,3856.0,E09000032,Wandsworth,"640,000",00BJ,Wandsworth,746.7
Butterworth Christopher,"71 Pimlico Rd, London",51.490362,-0.1535057,3.7,Westminster,50,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Antique Modern Mix,"unit 121, Design Centre South Dome, London",51.4760284,-0.1829163,5.0,Hammersmith and Fulham,51,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
New Kings Road Vintage Guitar Emporium,"65A New Kings Rd, London",51.475823,-0.1933474,4.6,Hammersmith and Fulham,52,3837.0,E09000013,Hammersmith and Fulham,"740,000",00AN,Hammersmith and Fulham,714.5
AntikBar - Original Vintage Posters,"404 King's Rd, London",51.4836155,-0.1771506,4.9,Kensington and Chelsea,53,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Found And Vision,"318 Portobello Rd, London",51.5213081,-0.2099342,4.5,Kensington and Chelsea,54,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Beyond Retro Soho,"19-21 Argyll St, London",51.5150107,-0.1411872,4.3,Westminster,55,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Karen Vintage Boutique @293,"293 Portobello Rd, London",51.5191106,-0.2075888,4.7,Kensington and Chelsea,56,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
282 Portobello,"282 Portobello Rd, London",51.5192983,-0.2074127,4.3,Kensington and Chelsea,57,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Last Place on Earth (uk),"82 Golborne Rd, London",51.5218537,-0.2087682,4.7,Kensington and Chelsea,58,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Rellik,"8 Golborne Rd, London",51.52414779999999,-0.2059257,4.3,Kensington and Chelsea,59,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Lovers Lane London,"77 Portobello Rd, London",51.51266390000001,-0.2021452,4.1,Kensington and Chelsea,60,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Dream Retro,"2nd Floor, Alfies Antiques Market, 13- 25 Church St, London",51.5241887,-0.1688101,0.0,Westminster,61,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Vintage Modes,"Alfies Antique Market, Church St, London",51.5241887,-0.1688101,0.0,Westminster,62,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Chelsea Vintage Couture,"Office - Showroom, BY APPOINTMENT ONLY, Sloane Ave, London",51.4924574,-0.1659658,4.7,Kensington and Chelsea,63,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Lime Green Bow VINTAGE,"5, 18 All Saints Rd, London",51.5180802,-0.2036464,4.0,Kensington and Chelsea,64,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Hornets,"2 & 4 Kensington Church Walk, London",51.50253259999999,-0.1928196,4.9,Kensington and Chelsea,65,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
One Vintage,"Unit 10, Portobello Green, 281 Portobello Rd, London",51.5187839,-0.2072528,4.3,Kensington and Chelsea,66,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
LanaTS Clothing,"55 Baker St, London",51.5187355,-0.1567089,0.0,Westminster,67,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Goldsmith Vintage,"176 Portobello Rd, London",51.5156751,-0.2046511,4.3,Kensington and Chelsea,68,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
The House of Retro,"232 Portobello Rd, London",51.51735009999999,-0.20601,4.2,Kensington and Chelsea,69,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
OOTO LONDON,"Claridge House, 32 Davies St, London",51.512012,-0.1477862,0.0,Westminster,70,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Pepper Tree London,"Unit1, 253 Portobello Rd, London",51.517531,-0.2065744,4.1,Kensington and Chelsea,71,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Eddie Wailes Studio,"13 - 25 Church St, London",51.52421589999999,-0.1688751,0.0,Westminster,72,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Antique Clothing Shop,"282 Portobello Rd, London",51.5192918,-0.2074124,5.0,Kensington and Chelsea,73,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Generation Vintage LDN,"242 Portobello Rd, London",51.517774,-0.2062906,3.0,Kensington and Chelsea,74,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Oliver Vintage,"Unit 7, Portobello Green Arcade, 281 Portobello Rd, London",51.5185621,-0.2073518,5.0,Kensington and Chelsea,75,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Pepper Tree London Notting Hill,"31 Pembridge Rd, Notting Hill Gate, London",51.5102901,-0.1974706,4.3,Kensington and Chelsea,76,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Nikita Sablier,"79 George St, London",51.5171123,-0.1568565,0.0,Westminster,77,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
De L'Époque,"8 Cheval Pl, London",51.49900359999999,-0.1667621,5.0,Westminster,78,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Retro Man,"28 Pembridge Rd, London",51.5098437,-0.1971446,3.4,Kensington and Chelsea,79,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
One Vintage,"200 Kensington Park Rd, London",51.5159972,-0.2059718,0.0,Kensington and Chelsea,80,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Portobello Vintage Market,"Greater, London",51.51872830000001,-0.2073275,4.0,Kensington and Chelsea,81,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Retro Clothing Exchange,"28 Pembridge Rd, London",51.50983189999999,-0.1971427,2.9,Kensington and Chelsea,82,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
American Vintage,"185 Westbourne Grove, London",51.5145847,-0.1981431,3.8,Kensington and Chelsea,83,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Open for Vintage,"7, 10 Cavendish Square, Chandos St, London",51.5169544,-0.1442532,5.0,Westminster,84,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
vintage clothing,London,51.52362549999999,-0.2067168,5.0,Kensington and Chelsea,85,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Vintage Stockroom,"13 - 25 Church St, London",51.524127,-0.1688328,0.0,Westminster,86,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Sheila Cook Textiles,"26 Addison Pl, London",51.5065669,-0.2134664,0.0,Kensington and Chelsea,87,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
V 4 Vintage,"13-25 Church St, London",51.5241887,-0.1688101,0.0,Westminster,88,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
All Loved Up Boutique,"All Loved Up Boutique, 91 Charlwood St, London",51.4880187,-0.1412302,5.0,Westminster,89,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Good,"180 Queensway, London",51.51557,-0.1880176,5.0,Westminster,90,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Linda Bee,"Alfie’s Antique Market, 13 - 25 Church St, London",51.5241887,-0.1688101,3.7,Westminster,91,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Jane Bourvis,"6, 281 Portobello Grn, Portobello Rd, London",51.5185621,-0.2073518,4.4,Kensington and Chelsea,92,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Alice's,"86 Portobello Rd, London",51.51278,-0.2019071,4.5,Kensington and Chelsea,93,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Retromania Fara London,"6 Upper Tachbrook St, London",51.4933772,-0.1399568,4.3,Westminster,94,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Gillian Horsup,"Alfies Antiques, Alfies Antique Market, 13-25 Church St, London",51.5241887,-0.1688101,5.0,Westminster,95,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Vintage Fur Garden,"82 Portobello Rd, London",51.5126783,-0.2016607,5.0,Kensington and Chelsea,96,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Somebody & Sons Vintage Archive,"1A Beethoven St, London",51.530617,-0.2071881,0.0,Westminster,97,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
This Old Thing London,"79 Portobello Rd, London",51.5127324,-0.2021264,5.0,Kensington and Chelsea,98,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
American Vintage,"35 Marylebone High St, London",51.5205091,-0.151705,3.4,Westminster,99,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Grays Antique Market,"58 Davies St, London",51.5137017,-0.1486451,4.1,Westminster,100,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Sign of the Times,"5 Elystan St, London",51.490966,-0.1667517,4.3,Kensington and Chelsea,101,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Good,"31 Kensington Church St, London",51.5035908,-0.1920055,4.9,Kensington and Chelsea,102,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
ANTIQUES,London,51.5122569,-0.1546661,4.8,Westminster,103,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Retro Living,"7A Church St, London",51.5244864,-0.1685567,5.0,Westminster,104,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Alfies Antique Market,"13 - 25 Church St, London",51.5241255,-0.1688334,4.3,Westminster,105,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
SOMLO - London & OMEGA Vintage,"35-36 Burlington Arcade, London",51.509631,-0.14092,4.5,Westminster,106,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
pillowHeat,"Vans Store, 47 Carnaby St, London",51.5128206,-0.1386783,4.9,Westminster,107,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Timewise Vintage Watches,"117 Portobello Rd, London",51.51381240000001,-0.2034662,0.0,Kensington and Chelsea,108,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
The Vintage Showroom,"By Appointment) UNIT 20, Buspace Studios, Conlan St, London",51.525636,-0.210764,3.7,Kensington and Chelsea,109,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Pip Hackett Millinery,"65 Alfred Rd, London",51.5211277,-0.1962841,0.0,Westminster,110,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Muirshin Durkin,"67 Golborne Rd, London",51.5221205,-0.2079296,3.4,Kensington and Chelsea,111,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Found And Vision,"318 Portobello Rd, London",51.5213081,-0.2099342,4.5,Kensington and Chelsea,112,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Beyond Retro Soho,"19-21 Argyll St, London",51.5150107,-0.1411872,4.3,Westminster,113,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
The Vintage Collection,"Arch 59, Camden Stables Market, London",51.5420455,-0.1469688,5.0,Camden,114,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Rokit Camden,"225 Camden High St, London",51.5398923,-0.143589,4.1,Camden,115,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Karen Vintage Boutique @293,"293 Portobello Rd, London",51.5191106,-0.2075888,4.7,Kensington and Chelsea,116,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
282 Portobello,"282 Portobello Rd, London",51.5192983,-0.2074127,4.3,Kensington and Chelsea,117,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
St Cyr Vintage,"56 Saddle Row Camden Market, London",51.5421391,-0.1483749,4.3,Camden,118,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Berty and Gerty Vintage,"53 Camden Lock Pl, London",51.5413907,-0.1465884,0.0,Camden,119,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Last Place on Earth (uk),"82 Golborne Rd, London",51.5218537,-0.2087682,4.7,Kensington and Chelsea,120,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
What Goes Around Comes Around,"Unit 32, The Stables Market Chalk, Farm Road, London",51.5420969,-0.1466583,3.9,Camden,121,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Rellik,"8 Golborne Rd, London",51.52414779999999,-0.2059257,4.3,Kensington and Chelsea,122,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Camden Threads - An online shop for the best independent brands and vintage boutiques,"44A Camden Lock Pl, London",51.5414567,-0.1463852,0.0,Camden,123,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Lovers Lane London,"77 Portobello Rd, London",51.51266390000001,-0.2021452,4.1,Kensington and Chelsea,124,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Dream Retro,"2nd Floor, Alfies Antiques Market, 13- 25 Church St, London",51.5241887,-0.1688101,0.0,Westminster,125,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Vintage Modes,"Alfies Antique Market, Church St, London",51.5241887,-0.1688101,0.0,Westminster,126,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Funkytownshop,"Ground Floor, 232 Camden High St, London",51.5409704,-0.1443065,3.3,Camden,127,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Lime Green Bow VINTAGE,"5, 18 All Saints Rd, London",51.5180802,-0.2036464,4.0,Kensington and Chelsea,128,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
OuterLimitz Vintage,"12B, Camden Stables Market, Chalk Farm Rd, London",51.5420455,-0.1469688,0.0,Camden,129,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Modern Age Vintage Clothing,"65 Chalk Farm Rd, London",51.5433049,-0.1503682,3.3,Camden,130,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
One Vintage,"Unit 10, Portobello Green, 281 Portobello Rd, London",51.5187839,-0.2072528,4.3,Kensington and Chelsea,131,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
LanaTS Clothing,"55 Baker St, London",51.5187355,-0.1567089,0.0,Westminster,132,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Goldsmith Vintage,"176 Portobello Rd, London",51.5156751,-0.2046511,4.3,Kensington and Chelsea,133,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
The House of Retro,"232 Portobello Rd, London",51.51735009999999,-0.20601,4.2,Kensington and Chelsea,134,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
OOTO LONDON,"Claridge House, 32 Davies St, London",51.512012,-0.1477862,0.0,Westminster,135,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Pepper Tree London,"Unit1, 253 Portobello Rd, London",51.517531,-0.2065744,4.1,Kensington and Chelsea,136,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Eddie Wailes Studio,"13 - 25 Church St, London",51.52421589999999,-0.1688751,0.0,Westminster,137,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
Antique Clothing Shop,"282 Portobello Rd, London",51.5192918,-0.2074124,5.0,Kensington and Chelsea,138,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Generation Vintage LDN,"242 Portobello Rd, London",51.517774,-0.2062906,3.0,Kensington and Chelsea,139,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Oliver Vintage,"Unit 7, Portobello Green Arcade, 281 Portobello Rd, London",51.5185621,-0.2073518,5.0,Kensington and Chelsea,140,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
A Dandy In Aspic,"Market, 748-749, North Yard Stables, Chalk Farm Rd, London",51.5425015,-0.1490213,3.4,Camden,141,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Peekaboo Vintage Marketplace,"149a Abbey Rd, London",51.540942,-0.1910264,5.0,Camden,142,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
DreamingLion Vintage,"Unit D28, Horse Tunnel, The Stables Market, Chalk Farm Rd, London",51.5420455,-0.1469688,4.5,Camden,143,3831.0,E09000007,Camden,"717,500",00AG,Camden,694.2
Pepper Tree London Notting Hill,"31 Pembridge Rd, Notting Hill Gate, London",51.5102901,-0.1974706,4.3,Kensington and Chelsea,144,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
Somebody & Sons Vintage Archive,"1A Beethoven St, London",51.530617,-0.2071881,0.0,Westminster,145,3857.0,E09000033,Westminster,"1,070,000",00BK,Westminster,771.6
One Vintage,"200 Kensington Park Rd, London",51.5159972,-0.2059718,0.0,Kensington and Chelsea,146,3844.0,E09000020,Kensington and Chelsea,"1,200,000",00AW,Kensington and Chelsea,767
