name,address,latitude,longitude,rating,borough
vintage clothing,London,51.52362549999999,-0.2067168,5.0,London
Vintage Stockroom,"13 - 25 Church St, London",51.524127,-0.1688328,0.0,London
Sheila Cook Textiles,"26 Addison Pl, London",51.5065669,-0.2134664,0.0,London
V 4 Vintage,"13-25 Church St, London",51.5241887,-0.1688101,0.0,London
All Loved Up Boutique,"All Loved Up Boutique, 91 Charlwood St, London",51.4880187,-0.1412302,5.0,London
Good,"180 Queensway, London",51.51557,-0.1880176,5.0,London
Linda Bee,"Alfie’s Antique Market, 13 - 25 Church St, London",51.5241887,-0.1688101,3.7,London
Jane Bourvis,"6, 281 Portobello Grn, Portobello Rd, London",51.5185621,-0.2073518,4.4,London
Alice's,"86 Portobello Rd, London",51.51278,-0.2019071,4.5,London
Retromania Fara London,"6 Upper Tachbrook St, London",51.4933772,-0.1399568,4.3,London
Gillian Horsup,"Alfies Antiques, Alfies Antique Market, 13-25 Church St, London",51.5241887,-0.1688101,5.0,London
Vintage Fur Garden,"82 Portobello Rd, London",51.5126783,-0.2016607,5.0,London
