name,address,latitude,longitude,rating,borough,borough_from_address,borough_from_lat_lng
Vintage80scasuals,"Unit 63, 105 Culvert Rd, London",51.47090439999999,-0.1566805,0.0,London,,Wandsworth
Accessories of Old,"Next to Safestore, Arch 10 Munster Rd, London",51.4725788,-0.2038588,0.0,London,,Hammersmith and Fulham
Eclectica (Clapham),"803 Wandsworth Rd, London",51.4665809,-0.1484604,4.9,London,Wandsworth,Lambeth
BajaboutiqueGB,"37 Elbe St, London",51.4728777,-0.1850758,0.0,London,,Hammersmith and Fulham
INSIGHT Fulham Dress Agency,"201 Munster Rd, London",51.4794466,-0.2118834,5.0,London,,Hammersmith and Fulham
NewVintage.co.uk,"256 Battersea Park Rd, London",51.4720756,-0.1661966,4.1,London,,Wandsworth
Rewind Vintage Affairs,London,51.47750680000001,-0.1831423,5.0,London,,Hammersmith and Fulham
R13fitness,"Flat 74, Barton House, Wandsworth Bridge Rd., London",51.4682394,-0.1898545,0.0,London,Wandsworth,Hammersmith and Fulham
Deuxieme,"299 New Kings Rd, London",51.4721182,-0.203096,3.8,London,,Hammersmith and Fulham
Northcote Road Antiques Market,"155a Northcote Rd, London",51.455341,-0.1645277,4.4,London,,Wandsworth
43 Decorative Antiques,"43 Replingham Rd, London",51.44506939999999,-0.2043641,4.5,London,,Wandsworth
Guinevere Antiques Ltd,"574-580, King's Rd, London",51.47900199999999,-0.188218,4.8,London,,Hammersmith and Fulham
Eccles Road Antiques,"60 Eccles Rd, London",51.46180829999999,-0.1634526,4.9,London,,Wandsworth
Ebury Trading,"Lavender Hill, London",51.4651588,-0.1550034,5.0,London,,Wandsworth
Antique Modern Mix,"unit 121, Design Centre South Dome, London",51.4760284,-0.1829163,5.0,London,,Hammersmith and Fulham
Black Tie White Noise,"62 Fulham High St, London",51.4703604,-0.2107931,0.0,London,,Hammersmith and Fulham
HOWE Warehouse,"Unit 15B, Bldg B Parkfield Industrial Estate, Culvert Pl, London",51.4711469,-0.1544732,0.0,London,,Wandsworth
The Shop,"645-649 Garratt Lane, London",51.4366231,-0.1865754,3.3,London,,Wandsworth
New Kings Road Vintage Guitar Emporium,"65A New Kings Rd, London",51.475823,-0.1933474,4.6,London,,Hammersmith and Fulham
ShonaMac.com,"8 Bellevue Rd, London",51.44577210000001,-0.1658887,4.5,London,,Wandsworth
Artiquea Gallery,"82 Wandsworth Bridge Rd., London",51.4738719,-0.1922307,5.0,London,Wandsworth,Hammersmith and Fulham
331,"331 Garratt Lane, London",51.44639429999999,-0.189165,4.4,London,,Wandsworth
Retro Furniture & Services,"338 Balham High Rd, London",51.4358639,-0.1596233,5.0,London,,Wandsworth
